注册号,商标名称,类型,来源,分类号,注册人,代理机构,申请日,注册生效日,有效期,申请服务内容,核定使用商品/服务项目,法律状态,备注
12345678,智能科技,文字商标,申请注册,第09类,北京科技有限公司,北京知识产权代理有限公司,2024-01-15,2024-06-01,2034-05-31,计算机软件开发,计算机软件;移动应用程序;数据处理设备,有效,无
87654321,创新标识,图形商标,转让获得,第35类,上海创新公司,上海专利事务所,2024-02-20,2024-07-15,2034-07-14,广告服务,广告;商业管理;市场营销;办公事务,有效,通过转让获得

# 填写说明：
# 1. 注册号：必填，商标注册号
# 2. 商标名称：必填，商标的名称
# 3. 类型：必填，可选值：文字商标、图形商标、组合商标、立体商标、颜色组合商标、声音商标
# 4. 来源：选填，可选值：申请注册、转让获得、许可使用、继承获得
# 5. 分类号：选填，商标分类号，如第01类、第02类等
# 6. 注册人：必填，商标注册人名称
# 7. 代理机构：选填，商标代理机构名称
# 8. 申请日：选填，商标申请日期，格式：YYYY-MM-DD
# 9. 注册生效日：选填，商标注册生效日期，格式：YYYY-MM-DD
# 10. 有效期：选填，商标有效期截止日期，格式：YYYY-MM-DD
# 11. 申请服务内容：选填，申请时的服务内容描述
# 12. 核定使用商品/服务项目：选填，核定使用的商品或服务项目
# 13. 法律状态：必填，可选值：有效、无效、撤销、终止、异议中、争议中
# 14. 备注：选填，其他说明信息
#
# 注意事项：
# - 请严格按照模板格式填写，不要修改表头
# - 日期格式必须为YYYY-MM-DD
# - 类型、来源、法律状态请从可选值中选择
# - 分类号格式为"第XX类"，如"第01类"
# - 删除示例数据和说明行后再导入
