软著名称,版本,简称,分类,流水号,登记号,证书号,开发方式,完成日,发表日,申请日,证书日,获得方式,权利范围,权利人,申请人,法律状态,备注
智能管理系统,V1.0,IMS,应用软件,2024001,2024SR001234,软著登字第001234号,独立开发,2024-01-15,2024-02-01,2024-02-15,2024-03-01,原始取得,全部权利,北京科技有限公司,北京科技有限公司,有效,无
数据分析平台,V2.0,DAP,系统软件,2024002,2024SR001235,软著登字第001235号,合作开发,2024-02-20,2024-03-05,2024-03-20,2024-04-05,继受取得,部分权利,上海创新公司,上海创新公司,有效,技术转让获得

# 填写说明：
# 1. 软著名称：必填，软件著作权的完整名称
# 2. 版本：必填，软件版本号，如V1.0
# 3. 简称：选填，软件的简称或缩写
# 4. 分类：必填，可选值：应用软件、系统软件、支撑软件、嵌入式软件
# 5. 流水号：选填，内部管理流水号
# 6. 登记号：选填，软著登记号
# 7. 证书号：选填，软著证书号
# 8. 开发方式：选填，可选值：独立开发、合作开发、委托开发、下达任务开发
# 9. 完成日：选填，软件开发完成日期，格式：YYYY-MM-DD
# 10. 发表日：选填，软件首次发表日期，格式：YYYY-MM-DD
# 11. 申请日：选填，软著申请日期，格式：YYYY-MM-DD
# 12. 证书日：选填，软著证书颁发日期，格式：YYYY-MM-DD
# 13. 获得方式：选填，可选值：原始取得、继受取得
# 14. 权利范围：选填，可选值：全部权利、部分权利
# 15. 权利人：选填，软著权利人名称
# 16. 申请人：选填，软著申请人名称
# 17. 法律状态：必填，可选值：有效、无效、撤销、终止
# 18. 备注：选填，其他说明信息
#
# 注意事项：
# - 请严格按照模板格式填写，不要修改表头
# - 日期格式必须为YYYY-MM-DD
# - 分类、开发方式、获得方式、权利范围、法律状态请从可选值中选择
# - 删除示例数据和说明行后再导入
